OS,Casuistica,Fecha,Observacion
-28644107,ejecutado,3/1/2025,
-28644205,canasta,,
-28644108,canasta,,
-28644112,brigada pesada,,
-28643807,brigada pesada,,
-28644113,brigada pesada,,
-28634990,especial,,
-28640314,especial,,
-28643559,ejecutado,,
-28643689,canasta,,
-28643803,brigada pesada,,
-28643509,brigada pesada,,
-28643805,ejecutado,,
-28643804,ejecutado,,
120499830,brigada pesada,,
-28642785,canasta,,
-28644103,ejecutado,,
-28643478,ejecutado,,
-28643802,ejecutado,,
-28644201,ejecutado,,
-28644202,ejecutado,,
120517074,caja concentradora,,
-28644106,ejecutado,,
120435780,especial,,
120435717,especial,,
120435348,especial,,
-28643334,brigada pesada,,
-28634918,especial,,
-28644206,primaria,,
-28643472,ejecutado,,
-28627006,no programar,,
-28626991,no programar,,
-28643524,ejecutado,,
-28643800,ejecutado,,
-28645556,ejecutado,4/1/2025,
-28645552,ejecutado,,
-28645550,ejecutado,,
-28645554,ejecutado,,
-28645555,ejecutado,,
-28645553,ejecutado,,
-28645551,ejecutado,,
-28645557,ejecutado,,
-28645492,ejecutado,,
-28645493,ejecutado,,
-28646120,canasta,,
-28645497,ejecutado,,
-28642636,canasta,,
-28642634,canasta,,
-28642524,especial,,
-28644469,canasta,,
-28642528,canasta,,
-28644476,ejecutado,,
-28645565,ejecutado,,
-28644251,brigada pesada,,
-28644482,brigada pesada,,
-28644478,brigada pesada,,
-28644248,ejecutado,,
-28645569,ejecutado,,
-28645571,ejecutado,,
-28646283,ejecutado,,
-28645564,brigada pesada,,
-28646280,ejecutado,,
-28644477,brigada pesada,,
-28643810,brigada pesada,,
-28644481,canasta,,
-28644473,brigada pesada,,
-28644002,canasta,,
-28646286,brigada pesada,,
-28644479,brigada pesada,,
-28646284,brigada pesada,,
-28644246,especial,7/1/2025,
-28634992,especial,,
-28634984,especial,,
-28634919,especial,,
-28642638,especial,,
-28642541,canasta,,
-28646641,brigada pesada,,
-28646586,ejecutado,,
-28644402,canasta,,
-28644472,brigada pesada,,
-28646631,brigada pesada,,
-28646318,ejecutado,,
-28646589,ejecutado,,
-28646740,brigada pesada,,
-28644111,ejecutado,,
-28644249,brigada pesada,,
-28646559,brigada pesada,,
-28646585,canasta,,
